collection_time,station_id,station_name,latitude,longitude,observation_time,rain_current_mm,rain_24hr_mm,temperature,humidity,pressure,wind_speed
2026-06-29 17:46:33,119,"Aadarsh Nagar, Worli",,,2026-06-29 23:00:00.0,0.00,37.8,27.2,85,1005.2,1.6
2026-06-29 17:46:34,152,Aarey Colony,,,2026-06-29 23:00:00.0,0.00,117.2,0.0,0.0,997.4,0.0
2026-06-29 17:46:35,65,Abhyudaya Nagar,,,2026-06-29 23:00:00.0,0.00,4.8,25.9,94,1006.1,0.0
2026-06-29 17:46:36,59,Afghan Church,,,2026-06-29 23:00:00.0,0.00,75.8,26.9,90,1005.6,4.8
2026-06-29 17:46:37,122,Agarwadi,,,2026-06-29 23:00:00.0,0.00,59.6,25.9,95,1007.0,3.2
2026-06-29 17:46:38,109,"Anand Nagar, Dahisar",,,2026-06-29 23:00:00.0,0.00,39.6,27.0,89,1002.1,8.0
2026-06-29 17:46:39,9,Andheri East,,,2026-06-29 23:00:00.0,0.00,134,26.7,91,1006.6,4.8
2026-06-29 17:46:40,9,Andheri Mono Rly. Stn.,,,2026-06-29 23:00:00.0,0.00,134,26.7,91,1006.6,4.8
2026-06-29 17:46:41,12,Andheri Rly. Stn. West,,,2026-06-29 23:15:00.0,0.00,119.6,26.9,92,1006.6,1.6
2026-06-29 17:46:41,12,Andheri West,,,2026-06-29 23:15:00.0,0.00,119.6,26.9,92,1006.6,1.6
2026-06-29 17:46:42,126,Anik Bus Depot,,,2026-06-29 19:15:00.0,0.00,1.6,27.0,89,1003.8,3.2
2026-06-29 17:46:43,53,Antop Hill ,,,2025-03-18 09:30:00.0,0.00,0,0.0,0.0,1012.2,0.0
2026-06-29 17:46:44,122,Anushakti Nagar,,,2026-06-29 23:00:00.0,0.00,59.6,25.9,95,1007.0,3.2
2026-06-29 17:46:45,112,"BPCL Terminal, Sewri",,,2026-06-29 23:15:00.0,0.00,46.6,26.7,91,1004.8,3.2
2026-06-29 17:46:46,117,BPT Colony,,,2026-06-29 23:00:00.0,0.00,41.8,26.7,92,1005.7,4.8
2026-06-29 17:46:47,138,"BSNL Colony, Khar Danda",,,2026-06-29 23:00:00.0,0.00,75.6,27.3,90,1005.9,6.4
2026-06-29 17:46:48,27,Bandra,,,2026-06-29 23:15:00.0,0.00,107.15,27.5,88,1004.2,3.2
2026-06-29 17:46:49,124,Bandra Bandstand,,,2026-06-29 23:00:00.0,0.00,106.6,27.4,90,1005.4,3.2
2026-06-29 17:46:50,124,Bandra Fort,,,2026-06-29 23:00:00.0,0.00,106.6,27.4,90,1005.4,3.2
2026-06-29 17:46:51,8,Bandra West,,,2026-06-29 23:00:00.0,0.00,85.8,27.2,89,1006.7,1.6
2026-06-29 17:46:52,111,Banganga Lake,,,2026-06-29 23:15:00.0,0.00,63.6,27.1,90,1006.6,3.2
2026-06-29 17:46:53,30,"Bhagwati Hospital, Borivali",,,2026-06-29 23:00:00.0,0.00,104.6,27.3,92,1005.8,3.2
2026-06-29 17:46:54,56,Bhaidas Auditarium,,,2026-06-29 23:15:00.0,0.00,106.6,26.9,93,1006.0,0.0
2026-06-29 17:46:54,22,Bhandup ,,,2026-06-29 23:15:00.0,0.00,146.2,26.3,88,1005.4,3.2
2026-06-29 17:46:55,28,Bhandup Complex,,,2026-06-29 23:15:00.0,0.00,83,26.0,92,1006.7,0.0
2026-06-29 17:46:56,149,Bhandup East,,,2026-06-29 23:00:00.0,0.00,115.8,26.2,90,1005.6,1.6
2026-06-29 17:46:58,22,Bhandup Rly. Stn.,,,2026-06-29 23:15:00.0,0.00,146.2,26.3,88,1005.4,3.2
2026-06-29 17:46:58,153,Bhandup West,,,2026-06-29 16:15:00.0,0.00,270.4,28.7,78,997.7,8.0
2026-06-29 17:46:59,141,"Bharat Nagar,Juhu",,,2026-06-29 23:00:00.0,0.00,123,27.3,91,1005.7,1.6
2026-06-29 17:47:00,10,Bharatmata Cinema,,,2026-06-29 23:15:00.0,0.00,48.6,25.4,89,1006.6,0.0
2026-06-29 17:47:01,2,Bhendi bazaar,,,2026-06-29 23:15:00.0,0.00,53,27.0,88,1006.4,1.6
2026-06-29 17:47:02,152,Bollywood Filmcity,,,2026-06-29 23:00:00.0,0.00,117.2,0.0,0.0,997.4,0.0
2026-06-29 17:47:03,30,Borivali Rly. Stn.,,,2026-06-29 23:00:00.0,0.00,104.6,27.3,92,1005.8,3.2
2026-06-29 17:47:04,1,Borivli West,,,2026-06-29 23:15:00.0,0.00,89.2,27.2,87,1006.4,0.0
2026-06-29 17:47:05,63,Breach Candy Hospital,,,2025-12-17 09:45:00.0,0.00,0,27.7,53,1016.7,4.8
2026-06-29 17:47:06,31,Byculla Bridge,,,2026-06-29 23:15:00.0,0.00,78.95,27.1,86,1006.3,3.2
2026-06-29 17:47:07,31,Byculla Rly. Stn.,,,2026-06-29 23:15:00.0,0.00,78.95,27.1,86,1006.3,3.2
2026-06-29 17:47:08,47,CSMT Rly. Stn.,,,2026-06-29 23:15:00.0,0.00,67,27.2,90,1005.9,3.2
2026-06-29 17:47:08,54,Century Bazar,,,2026-06-29 22:45:00.0,0.00,48,27.6,87,1016.1,0.0
2026-06-29 17:47:09,139,Chakala Fish Market,,,2026-06-29 23:00:00.0,0.40,112.2,27.2,88,1003.8,1.6
2026-06-29 17:47:10,139,Chakala Metro Stn.,,,2026-06-29 23:00:00.0,0.40,112.2,27.2,88,1003.8,1.6
2026-06-29 17:47:11,67,Chandivali,,,2026-06-29 23:15:00.0,0.00,156.4,26.3,91,1005.0,1.6
2026-06-29 17:47:12,164,Charkop,,,2025-12-17 13:45:00.0,0.00,0,32.7,52,1014.5,1.6
2026-06-29 17:47:13,164,Charkop Bus Depot,,,2025-12-17 13:45:00.0,0.00,0,32.7,52,1014.5,1.6
2026-06-29 17:47:14,163,Charkop Market,,,2026-06-29 23:00:00.0,0.00,86.2,27.7,89,1004.9,1.6
2026-06-29 17:47:15,163,Charkop Police Stn.,,,2026-06-29 23:00:00.0,0.00,86.2,27.7,89,1004.9,1.6
2026-06-29 17:47:16,123,"Cheeta Camp, Trombay",,,2026-06-29 23:00:00.0,0.00,116.8,26.0,91,1004.4,1.6
2026-06-29 17:47:17,32,Chembur Naka,,,2026-06-29 23:15:00.0,0.00,62.4,26.2,83,1002.8,0.0
2026-06-29 17:47:18,16,Chembur Rly. Stn.,,,2026-06-29 22:15:00.0,0.00,109,26.9,99,1006.8,0.0
2026-06-29 17:47:19,130,"Chimbai Jetty,Bandra",,,2026-06-29 23:00:00.0,0.00,107.4,27.2,91,1004.5,1.6
2026-06-29 17:47:20,33,Chincholi Bunder,,,2026-06-29 23:15:00.0,0.00,112.4,27.7,86,1005.8,0.0
2026-06-29 17:47:21,115,Chinchpokli Rly. Stn.,,,2026-06-29 23:00:00.0,0.00,46.6,26.4,93,1005.2,1.6
2026-06-29 17:47:21,18,Churchgate Rly. Stn.,,,2026-06-29 23:15:00.0,0.00,61.8,24.7,95,1005.6,0.0
2026-06-29 17:47:22,56,Cooper Hospital,,,2026-06-29 23:15:00.0,0.00,106.6,26.9,93,1006.0,0.0
2026-06-29 17:47:23,62,DN Nagar Metro Stn.,,,2026-06-29 23:15:00.0,0.00,151.4,27.3,83,1005.5,0.0
2026-06-29 17:47:24,35,Dadar East,,,2026-06-29 23:15:00.0,0.00,61.8,27.2,91,1006.1,0.0
2026-06-29 17:47:25,120,Dadar West,,,2026-06-29 23:00:00.0,0.00,2.6,27.3,90,1004.7,1.6
2026-06-29 17:47:26,43,Dahanukar Wadi,,,2026-06-29 23:15:00.0,0.00,89.4,26.7,88,1004.7,1.6
2026-06-29 17:47:27,168,Dahisar ,,,2026-06-29 18:45:00.0,0.00,57.2,27.7,84,1001.6,3.2
2026-06-29 17:47:28,36,Dahisar Check Naka,,,2026-06-29 23:00:00.0,0.00,54.8,27.1,92,1006.0,1.6
2026-06-29 17:47:29,168,Dahisar Fish Market,,,2026-06-29 18:45:00.0,0.00,57.2,27.7,84,1001.6,3.2
2026-06-29 17:47:30,109,Dahisar Police Stn.,,,2026-06-29 23:00:00.0,0.00,39.6,27.0,89,1002.1,8.0
2026-06-29 17:47:31,138,Danda Village,,,2026-06-29 23:00:00.0,0.00,75.6,27.3,90,1005.9,6.4
2026-06-29 17:47:31,66,Darukhana,,,2026-06-29 23:15:00.0,0.00,28.6,27.8,36,1006.3,12.9
2026-06-29 17:47:32,3,Dava Bazar,,,2026-06-29 23:15:00.0,0.00,61,25.3,92,1006.1,4.8
2026-06-29 17:47:33,7,Deepak Talkies,,,2026-06-29 23:15:00.0,0.00,47,26.8,88,1006.5,3.2
2026-06-29 17:47:34,37,Deonar Municipal Colony,,,2026-06-29 23:15:00.0,0.00,126.6,23.9,61,1009.4,8.0
2026-06-29 17:47:35,38,Dharavi,,,2022-05-06 07:45:00.0,0.00,0,30.1,74,1008.6,6.4
2026-06-29 17:47:36,125,Dharavi Bus Depot,,,2026-06-29 18:15:00.0,0.00,38,27.4,88,1003.4,1.6
2026-06-29 17:47:37,125,Dharavi Fort,,,2026-06-29 18:15:00.0,0.00,38,27.4,88,1003.4,1.6
2026-06-29 17:47:38,32,Diamond Garden,,,2026-06-29 23:15:00.0,0.00,62.4,26.2,83,1002.8,0.0
2026-06-29 17:47:39,52,Dinanath Mangeshkar Natyagruha,,,2026-06-29 23:15:00.0,0.00,66.6,24.9,97,1005.7,0.0
