collection_time,station_id,station_name,latitude,longitude,observation_time,rain_current_mm,rain_1hr_mm,rain_3hr_mm,rain_6hr_mm,rain_12hr_mm,rain_24hr_mm,temperature,humidity,pressure,wind_speed,wind_dir,heat_index
2026-08-04 08:08:04,119,"Aadarsh Nagar, Worli",,,2026-08-04 13:15:00.0,0.00,0,0.2,7,7,8.6,28.7,80,1006.5,11.3,SE,34.3
2026-08-04 08:08:05,152,Aarey Colony,,,2026-08-04 13:30:00.0,0.00,0,0,0.2,2,5.2,30.9,79,998.9,3.2,NW,39.5
2026-08-04 08:08:06,65,Abhyudaya Nagar,,,2026-08-04 13:30:00.0,0.00,0,0.2,0.4,0.6,1.2,29.6,82,1007.1,3.2,N,36.5
2026-08-04 08:08:07,59,Afghan Church,,,2026-08-04 13:30:00.0,0.00,0,0,0,0,0,28.7,83,1006.9,4.8,WSW,34.6
2026-08-04 08:08:08,122,Agarwadi,,,2026-08-04 13:30:00.0,0.00,0,0,0.4,0.6,7.4,30.9,79,1008.2,3.2,SSW,39.4
2026-08-04 08:08:09,109,"Anand Nagar, Dahisar",,,2026-08-04 13:30:00.0,0.00,0,0.2,2.6,3.2,7,30.7,78,672.1,4.8,WSW,38.6
2026-08-04 08:08:10,9,Andheri East,,,2026-08-04 13:30:00.0,0.00,0,0,0,0,3,29.9,81,1007.9,6.4,WSW,37.2
2026-08-04 08:08:11,9,Andheri Mono Rly. Stn.,,,2026-08-04 13:30:00.0,0.00,0,0,0,0,3,29.9,81,1007.9,6.4,WSW,37.2
2026-08-04 08:08:12,12,Andheri Rly. Stn. West,,,2026-08-04 13:30:00.0,0.00,0,0,0,0,3,29.8,85,1007.8,6.4,SSW,38.0
2026-08-04 08:08:13,12,Andheri West,,,2026-08-04 13:30:00.0,0.00,0,0,0,0,3,29.8,85,1007.8,6.4,SSW,38.0
2026-08-04 08:08:14,126,Anik Bus Depot,,,2026-08-04 13:30:00.0,0.00,0,0,0,0,0,29.9,79,1006.7,6.4,W,36.8
